Staff Group,Comment,No of Comments
Add Prof Scientific and Technic,"I have been filling in this questionnaire almost every year now for the last decade or so, and most of the key issues that concerned me have not changed during that time.  It makes me feel like it is pointless filling in the questionnaire, and I find the pressure from the trust to fill it in, accompanied by the assertion that my opinion matters, to be very frustrating, because I don't think this is really the case.  I don't believe that the trust has a considered approach to the work that it does from a psychological point of view, which seems like a missed opportunity from a mental health trust.  I think this is reflected in the make up of the work force, the way that estates and facilities are used, and mirrored in the problems with recruitment and retention.  I don't think that the trust has access to enough psychiatric bed space, which means that people are put at risk on a regular basis and admissions are refused, or delayed due to this reason.  I believe the reasons for this are broadly financial and that this is the often the most paramount concern for the trust.  This is also the case in terms of the working conditions for the staff that, over the years, have been pushed to working in a call centre type environments, which I don't believe is arranged because it will help us provide outstanding care as a service, but to save money for the trust..",1
Add Prof Scientific and Technic,"I have worked In healthcare for many, many years; Mersey-Care is the first organisation (and line-manager) I've worked with which fully understands chaplaincy/spiritual care; It has taken steps to ensure we have sufficient spiritual/pastoral care staff across our trust - this enables quality holistic care for our patients, staff and carers.  The very fact that my line-manager (and director) understands chaplaincy/spiritual care adds greatly to the feeling of being valued within my trust.",1
Add Prof Scientific and Technic,I love working for Mersey Care - I value the work I do within the Chaplaincy Team and believe we make a real difference.,1
Add Prof Scientific and Technic,I think Mersey Care and the NHS as a whole is a fantastic employer.  The pay could be better but that is a wider systemic issue.  I'm allowed to work flexible/condensed hours which has helped with childcare through the years which has benefited my entire family.,1
Add Prof Scientific and Technic,I would like to continue WFH and many of my colleagues value WFH.,1
Add Prof Scientific and Technic,"Immediate teams that I work with are great but sometimes the bigger teams at large will make decisions that will affect other staff members lower down but not themselves, so it feels that they don't always make the best decisions as they might not care as much as it doesn't impact them and they don't get us involved for our views.  There seem to be a lot of managers that nobody is sure what they do and not enough on the 'shop floor'.",1
Add Prof Scientific and Technic,"Its been very difficult over the last couple of years trying to adapt to constant ongoing changes to our service.  We have recently increased the amount of managers we have as part of transformational change, however this is impacting with having more work and less time to adjust to changes to how we work.  This has also increased the lack of communication with the amount of layers of managers to go through before getting a response and clear guidance if at all.  Quite a lot of new colleagues to the service are inexperienced and struggle trying to become familiar and learn in their new roll.  This impacts on the staff who are trying to do business as usual with no clear guidance support or answers to concerns they have.  There also seems to be a lack of following NICE guidance, we are being told its just guidance.  I cope with this by following guidance from my professional body to adhere to code of practice.  Most staff members just want to get on with their job and not have to constantly have to change how they do this, there is a lack of feeling stable with this constant change.",1
Add Prof Scientific and Technic,Just feel lost.,1
Add Prof Scientific and Technic,Lots of changes in the organisation over the last year or 2 have made the job more difficult and creates burn out.  Changes are based around meeting targets and are not in the best interest of the patients.  This is wrong and demoralising.,1
Add Prof Scientific and Technic,"Managers can often contradict each others narratives on practice and policy.  For example, KPI 's etc.  Difficulties within team environment and actions have not been followed up.  Professional capacity which results in no protected time for admin and poses risk for incidents.  Professionals in lower bands feel they are not acknowledged and decisions are always made by leadership.  Managers are not visible in the office and rarely engage with the team when passing etc.  Managers close office door and this often feels they are shut away from team.  Team canvas not been updated considering more than half of staff are new to service.",1
Add Prof Scientific and Technic,"MCFT is the best NHS trust I have worked for and it led by strong Exec Team who I have faith/trust has the best vision, plans, workstreams set for MCFT boroughs, families and services.  I am excited re: new much needed changes and developments, in particular MCFT Trusts commitment to supporting the most vulnerable complex families in our communities.",1
Add Prof Scientific and Technic,"Mersey Care have tried to re-brand themselves after years of having a poor reputation.  However, they have failed to address concerns raised about bullying and harassment by a[job title removed] within my team.  We are losing staff and morale is low.  It remains to be seen whether Mersey Care will live up to its values.",1
Add Prof Scientific and Technic,Merseycare when it comes down to it is more interested in its own reputation and survival than it is in users.  I hope this will change with the new chief executive.,1
Add Prof Scientific and Technic,"My Organisation since organisational change has become a big divide, and very fragmented, the teams don't work together any more and a lot of staff are unaware of what is happening within their own organisation due to this divide and non sharing of information.",1
Add Prof Scientific and Technic,My team were very supportive after a period of sick leave which I really appreciated.,1
Add Prof Scientific and Technic,NHS need better pay and benefits.  Staff will continue to leave and seek private roles if this does not change.,1
Add Prof Scientific and Technic,"None, thank you.",1
Add Prof Scientific and Technic,"Not enough rooms to complete my work which has a detrimental impact on waiting times.  Organisation is driven by KPIs and targets and this is felt by staff members, with little regard to burnout.",1
Add Prof Scientific and Technic,"PACE was apparently revised this year but I thought it was just as bad as ever.  The domains aren't explained enough and I'm well educated.  We have a hard time thinking straight we're so busy.  The PACE could be so much more simple/straightforward.  My immediate team and managers are great, they're supportive and nice people.  The organisation is to big though and I feel we're very disconnected from senior management.  I feel they don't know what happens at the grassroot level.  There's too much admin to do and Rio is so awful.  I've worked on better systems so I know they exist.",1
Add Prof Scientific and Technic,"Recently received an email saying I would be sent an appointment for MMR vaccine as occ health didn't have records of my vaccination/immunity status.  There was no discussion before hand and no attempt to find out what my vaccination status was.  I replied back with all the information required to evidence why I did not need MMR vaccine but then received an email which I presume has also been sent to my line manager, which I felt was quite threatening in tone.  This is not acceptable.",1
Add Prof Scientific and Technic,Request for more working hours should be constructively considered when requested by current staff.,1
Add Prof Scientific and Technic,Senior management within the NHS Talking therapies team leadership approach has been extremely poor with regards to their communication towards the team during several meetings this year.  There is a top down do as I say approach which is damaging morale and leading to widespread distrust.  This type of leadership style will result in staff leaving and it is no surprise that there are significant staff vacancies.  I do not believe that their communication aligns with the trust values in the few times they have been present in staff meetings.  There is a tunnel vision approach to achieving 50% recovery.  I would remind leadership that reliable improvement scores make a substantial difference to the day to day lives of many of our clients.,1
Add Prof Scientific and Technic,"Senior Social Work leadership has caused a rift between nursing colleagues and social care service.  Lack of trust from SW managers towards nursing care staff.  Too much emphasis on using Local Authority IT systems rather than NHS systems.  Duplicating SW tasks, duplicating meetings, taking social workers away from direct patient care.",1
Add Prof Scientific and Technic,"So many more expectations / training to complete e.g. higher risk management expectations, rather than refer to secondary for their input.",1
Add Prof Scientific and Technic,"Social Work is undervalued within this Organisation and we are a vital cog in the discharge wheel.  We lead and guide our health colleagues and the team do often feel their work is unrecognised.  There is no ability for team leaders to progress to Band 8A level other than moving to a different area of work outside social work, this has been sanctioned by senior managers.  It is often sole destroying to witness the increase in operational management when SW are left behind regardless of the heavy workload which is wrapped around with Legislation and law.",1
Add Prof Scientific and Technic,Some of the comments couldn't say as I have just returned back after [timeframe removed] off [condition removed].,1
Add Prof Scientific and Technic,Some of the issues that get in the way of me feeling more able to complete my role/duties are down to not having more training on the use of RIO.,1
Add Prof Scientific and Technic,"Staff services are poor in this trust - recruitment, payroll, HR.",1
Add Prof Scientific and Technic,"Staffing is an issue in the MSU at Rowan View.  As a social worker, I am often concerned both about the care afforded to patients due to low staffing levels and also the welfare of the ward staff (NAs and nurses).  Because of staffing issues there can sometimes either be not enough staff to safely run the ward and there can be breaches in policies (i.e. back to back observations etc).  Furthermore, there are sometimes no or few regular staff on a shift and this can then feel quite unsafe and patients report feeling unsafe when there's few regular or not enough staff.  Patients' visits can end up cancelled preventing patients' right to family life and they can be prevented from going on leave which impacts them moving on.  It just feels there is no solution to this in sight and that things will continue on this way which is not good in terms of staff retention, staff sickness levels, and overall staff and patient morale.",1
Add Prof Scientific and Technic,Stating my age / gender / job title does not make this survey anonymous.,1
Add Prof Scientific and Technic,Targets appear to have become a priority over everything else which has a negative impact on staff and patient's.,1
Add Prof Scientific and Technic,The availability of clinical space significantly impacts on my working week and ability to see service users.  There are not enough clinical rooms to see service users in.,1
Add Prof Scientific and Technic,"The main issues at present is low pay for the responsibility held, skill level used, and qualifications obtained.",1
Add Prof Scientific and Technic,"The payroll and ESR within Mersey Care are one of the worst many of us have had to deal with.  I have been fighting for the last 18 months over annual leave, pay and contract errors.  The teams are unwilling to listen and have tried to out right break employment law, only once the union and the head of department got involved was my voice listened to.  I am not the only member of staff even within my team to have such problems.  It is a huge problem for recruitment and retention within Mersey Care and it needs looking into ASAP.",1
Add Prof Scientific and Technic,"The service no longer is no longer a joy to work in.  It's no longer about people, it's about numbers and statistics.  Too much is expected of us in terms of information gathering and responsibility, this takes over doing the actual job.  I feel like a case manager and not a therapist.  We do make a difference to people's lives but unless their outcome measures show certain numbers then it doesn't count!  I came into the profession to help people, now I consistently feeling that I am just managing risk and seeing people that are our service is not suitable for.  Yet we are still expected to get results!",1
Add Prof Scientific and Technic,"The team at a ward level are fantastic- very enthusiastic about providing high quality care, and regularly go above and beyond for patients.  I find starting improvement projects very difficult, and although there is often intellectual appetite for positive change, it often doesn't get actioned due to staffing or time constraints.  I find it difficult to carry a improvement project through to routine implementation, and important changes often get shelved.  Staffing levels can often be below minimum in all teams, affecting the pace and quality of work, and staff frequently report to me they are feeling run down and tired.  Staff often end up ill due to overwork.  The pharmacy department are great at supporting staff to undertake paid learning opportunities, and provide lots of funding and supported time in work to undertake this.  I feel there are opportunities for growth and advancement within the department, and feel its a place I can develop my career.",1
Add Prof Scientific and Technic,"The team I work for are lovely and support each other well.  However with recent changes, requested administrative tasks make you repeat your work in several different formats, leading to unnecessary and excessive work loads and it is ineffective use of practitioners time.  Our team managers are also lovely and very supportive.  Whilst the trust advocate being able to report issues upwards, often it feels very much like a top-down process, in which changes occur in our service decided by management who aren't part of our team and with no discussion on the matter first.  When we report concerns around any of these changes, our service managers take this seriously but we get the sense that not much changes when raised higher.",1
Add Prof Scientific and Technic,"The Trust is good at looking after patients but not so good at looking after staff.  So many people are leaving the team because they are being micromanaged.  At times it's like being back at school.  There's little opportunity for agile or flexible working.  It feels like managers are happy to have miserable, unhappy staff who can't wait to leave the NHS.  We have poor facilities, buildings fit to burst as so many people are crammed in, no wonder people are disillusioned.  You get more from happy staff!",1
Add Prof Scientific and Technic,"The wider trust seems to have lots of process issues.  For example being told a department cannot do something despite there being instructions on how to do it on the department's own website.  There does not seem to be considerations for parents of young children, or parents whose children have additional complex needs, in regards to carers leave or ad hoc flexible working.  There seems to be an increase in duplications of recording, and unnecessary processes, in comparison to a few years ago.",1
Add Prof Scientific and Technic,There are challenges within psychology recruitment that put additional pressure on those in post (despite best efforts of local psychology managers).  There are limited senior roles in certain psychology specialties therefore we lose staff to other Trusts who have better career progression opportunities.,1
Add Prof Scientific and Technic,"There has become a closed culture where problems are not addressed, objections are not listened to, concerns are ignored, and standardising procedures for QRV or CQC are favoured.  There is a nursing culture and not a multidisciplinary culture where opinions of professionals other than senior nurse leaders are ignored.  The drive for economy over quality care is also dangerous and is ostracizing staff who are concerned about their own welfare and that of patients.  There is a new drive of unilateral decision making which is harming the workplace, and no real forum to talk or be listened to and responded to in a meaningful way.  The workplace, despite all of the things in this survey which make for positive reading, is becoming unsafe.",1
Add Prof Scientific and Technic,"There is a different between my experience of my team and service that I work in compared to the trust as an organisation.  I have found the trust to be largely unhelpful, defensive in practice, far removed from patient care, wellbeing and also staff wellbeing, poor approach to toil (encouraging staff to work unpaid hours) poor system development, poor management systems, poor escalation process, processes across services.  My sense is that the trust cannot cope with the size of itself and has become process for the sake of process at times, without clear rationale or consultation.  I have never heard that we can't do things or have to do things because that's just the way trust does it so much in another trust I've worked in.  I've worked in other trusts in my career and this is by far the worst.",1
Add Prof Scientific and Technic,"There is a real issue within Mersey Care with a lack of clinical space to meet with service-users.  This has been going on for a number of years but has gotten significantly worse since staff have returned more fully to bases following COVID.  Places service-users are being seen are often completely inappropriate and untherapeutic and does not indicate that we, as an organisation, value our service-users.  Also our frontline staff also have to work in inappropriate environments that are noisy, stressful and impersonal.  Hot desking in large areas that have poor equipment is not understanding of the stress of working with mental health in secondary services.  Staff often need a quiet space to think, but this is not provided due to poorly designed admin spaces.  I am hopeful the Trust will prioritise this in the coming years as I am aware it regularly comes up in mega-conversations etc. - across the whole of the Trust but continues to be a problem.",1
Add Prof Scientific and Technic,Things seem to be improving.  Better managers.  Better culture.,1
Add Prof Scientific and Technic,This organisation is understaffed and overworked.  Staff are being told they can apply for incentives such as flexible working but the structure is not there to support this.,1
Add Prof Scientific and Technic,This organisation states that it has a just and learning culture but this is not reflected in its behaviour.,1
Add Prof Scientific and Technic,"Unrelenting and unrealistic targets are driven from community division leaders who don't seem to understand or demonstrate the needs of the population that the team is serving.  Data driven dogma reduces clinical quality, affects clinical decision making - leading to local team managers feeling under pressure to push staff to do more with less time - due to needing to attend to patients with more complexity alongside staffing shortages.  Over last 12 months I have experienced pressures of ""see more people quickly"" - leading to messages of ""discharge quickly"" and watering down clinical offer.  Working at speed, offering reduced /less effective clinical intervention and discharging quickly are the elements that appear to be valued by senior community division managers with the organisation.  Some of the changes around safety/risk planning seem to be cumbersome and serve a ""tick box"" without any care being shown to patients or staff - but is carried under the guise of improving quality..  No exit interviews for those staff who move departments within the organisation misses vital information as to why someone may be leaving, no patterns/themes are investigate.  I'm aware of 8-9 senior staff who have left one IAPT service, myself included, due to bullying behaviour from a senior staff member - but people are too fearful of losing their jobs to raise concerns.  Its felt those senior staff are simply delivering what more senior managers in the service want regarding targets.",1
Add Prof Scientific and Technic,What is the point of commenting as nothing will happen/change.,1
Add Prof Scientific and Technic,"Whilst the trust are advertising flexible working and trying hard to promote it as attractable for staff, managers remain to have a problem with allowing flexible working and making it very hard for colleagues to have a work life balance.  Even when giving reasons they are not accurate representations to reject, and even though there maybe appeal processes this would make daily life difficult and uncomfortable so its often seen as not worth it.  There should be more career progression opportunities within trust for psychology and recognition that real job responsibilities often superseded the banding so business cases for up banding for recognition and respect of job should be considered more openly.",1
Add Prof Scientific and Technic,"Working in the NHS since the pandemic has become extremely challenging.  After [timeframe removed] of service I have never known things to be as difficult as they are for myself and others right now.  I feel that the impact of the pandemic on staff (and the public in general) has been grossly underestimated.  Wellbeing of staff in the NHS has been given a higher profile which is good, but in reality it doesn't have the impact it should.  NHS England, individual Trusts and senior managers can still be preoccupied with statistical outcomes, putting pressure on staff, and therefore cancelling out the wellbeing agendas they seem to be trying to promote.  Burn out in the NHS is a major concern in my opinion and one that needs to be addressed effectively going forward if systems, services and individuals are going to survive into the future.",1
Add Prof Scientific and Technic,"Working within a psychological department that operates within a wider team, I do feel that we are not fully valued by the Trust, as illustrated by the severe lack of resources, especially room space.  Having regular, protected clinical space is the bare minimum we would expect in order to do our jobs, however across the Trust, we are continuously having to work around other professions, particularly medics, and are expected to be flexible and adaptive, often losing clinical space due to medical staff rotation or increased demand from elsewhere.  Many are the times we lose protected space and have to rearrange or cancel clinical appointments, or not book in assessments or even refuse taking trainee psychologists.  This is not sustainable and is a strong, significant barrier to us being able to implement care for service users and supervision for staff.  I appreciate the challenges the Trust faces in lowering costs and finding savings, however this is a problem that is persistent and pervasive.  This has a significant and strong impact on staff morale and ultimately does result in many psychology staff feeling undervalued and overlooked.",1
Add Prof Scientific and Technic,"Workload is ridiculous and it is rarely acknowledged because everyone is experiencing it, so it is now the norm- but it is unsustainable.",1
Add Prof Scientific and Technic,You could do with separating line managers to more senior management in some of these questions as the answers may be quite different.,1
Additional Clinical Services,"A big source of dissatisfaction within my role (Assistant Psychologist) is the poor pay and the lack of options for progression.  There are few options for me to progress which I will be likely to get on to (i.e. the doctorate), which combined with the poor pay and challenging nature of the work, is not a good mix for my mental health.",1
Additional Clinical Services,A four day week would be help with health and well-being allowing more family time and reduce burnout caused by stress and illness.  Offering longer shifts in certain services instead of usual 9-5.,1
Additional Clinical Services,"All my negative comments are the higher management, don't feel apricated, they don't support our team if it wasn't for my colleges in work I would of left years ago, I got diagnosed with [conditions removed] on [date removed].  And heard from no one.",1
Additional Clinical Services,"Although I think my trust is a good one to work for and has patients interest at the forefront.  I fine having outside SLA.  Do not have the patients best interest and do not go above and beyond, certainly not value for money.",1
Additional Clinical Services,Any answers given about management are for previous manager.  Only met new manager once as they are new to the team.,1
Additional Clinical Services,As an STR worker on the Recovery team I notice we have a lack of occupational therapists in the trust.  Wouldn't it be an idea for STR workers to have the opportunity to become qualified as occupational therapists even if this involves night school college attendance.,1
Additional Clinical Services,At present I am happy in my job.,1
Additional Clinical Services,"At times of reorganisation within the OT sector I am working in I feel that there is no communication, as assistants we are given mixed information or none at all.  Also having worked here for [timeframe removed], I have spent 50% of my working time covering for nursing assistants, so have only actually worked in my OTA position for 50%, extremely unhappy about this.  Creating a very bullying atmosphere from nursing staff and totally unappreciated, and not given full breaks or always given the worst jobs to give their staff a break, often unable to take a lunch break due to being in observations often in seclusion, while ward nursing staff are able to eat while being on a lower level of observation.  At moment having contract changes and we are not being consulted or being given the opportunity to have a meeting to discuss the changes, miscommunication between staff, information being given to certain staff, then other staff being told that information was incorrect, leading to a very stressful working environment.",1
Additional Clinical Services,"Brilliant team to work with and amazing colleagues and manager who all care about there job and service users.  MC appears to large to look after colleagues and sort out any concerns affectively due to lack of funding in NHS and social, this has massively impacted on everyone's job role making each task a lot more difficult - trusts/government looking at short term fixes, preventative measures are no longer looked at due to time and money which will cost more money long term.",1
Additional Clinical Services,Building feel old and dark.  Electric car charging use to be free but now is no longer free and outsourced to private company which chargers fee now.,1
Additional Clinical Services,Bullies get looked after.,1
Additional Clinical Services,Bullying and clique culture.  Often ignored.,1
Additional Clinical Services,Can the Trust review their skilled worker visa policy to support staff on Band3 that require visa sponsorship?  Such positive decision will make the Trust to retain staff.,1
Additional Clinical Services,"Communication between teams could improve.  Managers should take on board concerns and feedback appropriately.  I feel we should also be included in decisions made that directly affect the staff, managers have made lots of changes recently without considering staffs feelings or opinions.  Feel as though staff wellbeing is not thought about at all, feels as though we are all just numbers and not human beings.",1
Additional Clinical Services,"Community support workers should be paid at band 4 due to working alone, supporting with transitioning challenging individuals from hospitals and prisons into the community.  Working with other services.  We do not work on the ward and have nurses to support us and other professionals.",1
Additional Clinical Services,Continually under staffed with lips service support from senior management.  Unsafe staffing levels.  Site deliberately staffed short at weekends.  Staff ignored when highlighted.  Staff pressured to input inaccurate information on patient activities (iPad is commonly known as the lie pad).  Our patients have little or nothing to encourage them out of bed.,1
Additional Clinical Services,"Disappointed that Mersey care has lost the tender in regards to addiction services.  I will be losing my job in [date removed] as I'm currently funded on a fixed term contract after having give up my substantial post to join addiction services.  I hopefully will be able to take another role within merseycare if not I will become unemployed, which is a shame.",1
Additional Clinical Services,District nursing is for housebound patients but staff think it would be helpful for my organisation to employ doctors for staff to seek medical advice when unwell as they may not get to see or have available appointments the same day.,1
Additional Clinical Services,Earlier this year l asked if l could retire and return as l had given[timeframe removed] of service to the NHS.  This was refused on the grounds of needing staff to cover the hours that l worked.  This was particularly irritating to me because of a number of staff in the team who have been allowed to retire and return.  These are all trained staff who been awarded the consideration of retiring and returning.  l feel l have not been awarded the same consideration as the trained staff in the team.  Very ageist decision as far as l am concerned.  General staff feel under pressure and under valued by managerial staff particularly the grade 8 staff who are neither use nor ornament to the real workers.,1
Additional Clinical Services,Enjoy my role within the trust.  Merseycare have helped me develop and now working as a band 4 nursing associate.  Hoping to further develop to a registered mental health nurse.,1
Additional Clinical Services,Equal pay or at least more fair across MSU.,1
Additional Clinical Services,"Everyone should work together for the patients and have an effective communication, I have found management don't often communicate with staff on the ward and not update staff on decisions made for the ward and the patients.",1
Additional Clinical Services,Feel Mersey Care managers not supportive of staff on wards.  Feel like a number rather than a valued member of staff.,1
Additional Clinical Services,"Feel under valued, under paid and under appreciated in our roles.  We all need to be taught the basics BSL which has been asked numerous times throughout the years especially COVID times as we were wearing masks and removing them to speak, its common courtesy.  There are a lot of flaws in this system.",1
Additional Clinical Services,"First response team is a great team to work for.  We all share a passion to provide perfect care and zero suicide goal.  Our team is friendly, encouraging and supportive it feels like we are one big family.  Managers help you to gain new skills and help with trying to climb your career ladder with support and encouragement.",1
Additional Clinical Services,For a primarily mental heath organisation.  Your attitude towards staff with mental health problems is very poor.,1
Additional Clinical Services,"For future admissions, management need look more at diagnosis and risk.  To have a balanced patient mix as management look at skill mix for staff on duty.  Maybe this would lessen assaults and aggression to both staff and fellow patients.",1
Additional Clinical Services,Forever grateful for my consistent support/understanding from my Team Leader while navigating my [family member and details removed].,1
Additional Clinical Services,"Higher management need to understand and support us nurses more, we don't get dinner breaks ever as there's to much work put on us, as they say you us take your breaks its physically impossible.  Some days eat on go or don't eat at all, take work home with us, as there never enough staff are patient lists always high.  If mistakes are made high management come down on us, not understanding how hard day in day out we work.  The pressure is on us every day.  Its physically and mentally draining, they wonder why so much long term sick!  .  Things need to change for everyone's well being.  I love my job, but the stress of it is getting worse not better, exhausted all the time.",1
Additional Clinical Services,Higher managers do not care about pressures on staff.,1
Additional Clinical Services,I am [details removed] soon I would just like to say Mersey care have been very supportive over the years and I have had lots of opportunities to develop my skills.,1
Additional Clinical Services,"I am a working as a Nursing Assistant.  I have a passion in caring people who need support and care, I have find the place for that in Mersey care NHS Foundation Trust.  I came from another country to be a part in health sector in UK, for that I need a sponsorship to stay in UK.  Currently my visa expires in a few months, if Merseycare provide me a sponsorship, I will put my whole career to Merseycare trust and I need to grow up with this trust, I like to become a nurse in future so I will be with this trust in my entire life.  So can you help me to get a sponsorship in this trust.  I am confident that with your support, my qualifications and passion for healthcare will be a great contribution to the Trust.  I am enthusiastic about the opportunity to work in Merseycare NHS Foundation Trust.",1
Additional Clinical Services,"I am currently a Band 3 support worker and feel that a lot of the work that I do, should be Band 4 because of the level of responsibility.",1
Additional Clinical Services,I am dismayed at how the changes within my organisation make it it clear that they do not care about its employees.  I have never worked in a company that does not care about a employees mental well being in particular.  Senior managers of my organisation have no clue about what happens on the ground nor do they wish to.  Its all about meeting their individual targets regardless of what measures are required to achieve them.,1
Additional Clinical Services,I am happy at work.,1
Additional Clinical Services,"I am happy in my role I feel very supported by my immediate manager and the team I work with.  I believe there are too many management roles within the NHS, and since the transformation, clinical pathways are more confusing than ever.  Systems such as booking courses are overly complicated for some staff.  Systems should be user friendly.  In an IAPT service, whilst we are working with measures that we all agree are not fit for purpose, but will not change, has the potential to impact on staff morale and make attracting new staff difficult.",1
Additional Clinical Services,I am proud to work in this team!,1
Additional Clinical Services,"I am quite happy with my job, however being a band [number removed] for the last [timeframe removed] has made me feel like we don't matter.  We as a team have been fighting for a band [number removed] for a number of years and I feel that the managers have done everything in their power to stop this.  It is appalling that this has been allowed.  It has made me feel that we don't matter.",1
Additional Clinical Services,I am shocked at the low numbers of staff we are expected to care for patients with....  On the rare occasions we are on numbers we then are expected to send staff to more acute wards....  All patients should have adequate staffing to provide the correct level of care...Night coordinators don't seem to recognise this.  Staffing is available but it's all about saving money fewer staff lower wage bills.  Too much money funnelled on growing the business and not enough on paying sufficient staff to care for patients.  And if you really want to know how staff feel....  Visit some wards you will find out in no time....,1
Additional Clinical Services,I believe that Mersey Care should be trying and helping progress it's own employees more and reward them with more opportunity for those who wish to move up the ladder and progress professionally.,1
